FID,name,iso_a3,SDI,Area,Zone,Continent
198,Afghanistan,AFG,Low SDI,6.42E+11,Middle_Lat,AS
194,Angola,AGO,Low-middle SDI,1.24E+12,Low_Lat,AF
197,Albania,ALB,Middle SDI,28373045264,Middle_Lat,EU
195,Andorra,AND,High SDI,442539573,Middle_Lat,EU
18,United Arab Emirates,ARE,High SDI,71114007290,Low_Lat,AS
192,Argentina,ARG,High-middle SDI,2.78E+12,Middle_Lat,SA
191,Armenia,ARM,Middle SDI,29590803920,Middle_Lat,AS
13,American Samoa,ASM,High-middle SDI,119963706.5,Low_Lat,OC
193,Antigua and Barb.,ATG,High-middle SDI,431410838.3,Low_Lat,NA
190,Australia,AUS,High SDI,7.69E+12,Low_Lat,OC
189,Austria,AUT,High SDI,84148449349,Middle_Lat,EU
188,Azerbaijan,AZE,Middle SDI,86500854132,Middle_Lat,EU
171,Burundi,BDI,Low SDI,27086921679,Low_Lat,AF
182,Belgium,BEL,High SDI,30739448249,Middle_Lat,EU
180,Benin,BEN,Low SDI,1.16E+11,Low_Lat,AF
172,Burkina Faso,BFA,Low SDI,2.73E+11,Low_Lat,AF
185,Bangladesh,BGD,Low-middle SDI,1.35E+11,Low_Lat,AS
173,Bulgaria,BGR,High-middle SDI,1.13E+11,Middle_Lat,EU
186,Bahrain,BHR,High-middle SDI,540459464.7,Low_Lat,AS
187,Bahamas,BHS,High-middle SDI,12640168200,Low_Lat,NA
177,Bosnia and Herz.,BIH,High-middle SDI,51789675527,Middle_Lat,EU
183,Belarus,BLR,High-middle SDI,2.08E+11,Middle_Lat,EU
181,Belize,BLZ,Low-middle SDI,22705203349,Low_Lat,NA
16,Bermuda,BMU,High SDI,65937775.26,Middle_Lat,NA
178,Bolivia,BOL,Low-middle SDI,1.09E+12,Low_Lat,SA
175,Brazil,BRA,Middle SDI,8.47E+12,Low_Lat,SA
184,Barbados,BRB,High-middle SDI,387828401,Low_Lat,NA
174,Brunei,BRN,High SDI,5647174664,Low_Lat,AS
179,Bhutan,BTN,Low-middle SDI,39811349126,Middle_Lat,SA
176,Botswana,BWA,Middle SDI,5.79E+11,Low_Lat,AF
165,Central African Rep.,CAF,Low SDI,6.18E+11,Low_Lat,AF
167,Canada,CAN,High SDI,9.92E+12,Middle_Lat,NA
33,Switzerland,CHE,High SDI,41316161301,Middle_Lat,EU
163,Chile,CHL,High-middle SDI,7.38E+11,Middle_Lat,SA
162,China,CHN,Middle SDI,9.37E+12,Middle_Lat,AS
156,Côte d'Ivoire,CIV,Low SDI,3.21E+11,Low_Lat,AF
168,Cameroon,CMR,Low-middle SDI,4.64E+11,Low_Lat,AF
158,Dem. Rep. Congo,COD,Low SDI,2.32E+12,Low_Lat,AF
159,Congo,COG,Low-middle SDI,3.45E+11,Low_Lat,AF
78,Cook Is.,COK,High-middle SDI,60488815.46,Middle_Lat,OC
161,Colombia,COL,Middle SDI,1.13E+12,Low_Lat,SA
160,Comoros,COM,Low SDI,1579638186,Low_Lat,AF
166,Cabo Verde,CPV,Low-middle SDI,3572635667,Low_Lat,AF
157,Costa Rica,CRI,Middle SDI,51303384528,Low_Lat,NA
154,Cuba,CUB,Middle SDI,1.09E+11,Low_Lat,NA
153,Cyprus,CYP,High SDI,9179152704,Middle_Lat,EU
152,Czechia,CZE,High SDI,78743859331,Middle_Lat,EU
134,Germany,DEU,High SDI,3.57E+11,Middle_Lat,EU
149,Djibouti,DJI,Low-middle SDI,21618915246,Low_Lat,AF
148,Dominica,DMA,High-middle SDI,695387777,Low_Lat,NA
151,Denmark,DNK,High SDI,42618411249,Middle_Lat,EU
147,Dominican Rep.,DOM,Low-middle SDI,48440038109,Low_Lat,NA
196,Algeria,DZA,Middle SDI,2.32E+12,Middle_Lat,AF
146,Ecuador,ECU,Middle SDI,2.55E+11,Low_Lat,SA
145,Egypt,EGY,Middle SDI,1.00E+12,Low_Lat,AF
142,Eritrea,ERI,Low SDI,1.23E+11,Low_Lat,AF
40,Spain,ESP,High-middle SDI,5.07E+11,Middle_Lat,EU
141,Estonia,EST,High SDI,45694636967,Middle_Lat,EU
140,Ethiopia,ETH,Low SDI,1.13E+12,Low_Lat,AF
138,Finland,FIN,High SDI,3.33E+11,Middle_Lat,EU
139,Fiji,FJI,Middle SDI,18346452513,Low_Lat,OC
202,France,FRA,High SDI,5.47E+11,Middle_Lat,EU
8,Micronesia,FSM,Low-middle SDI,521859751.6,Middle_Lat,OC
137,Gabon,GAB,Middle SDI,2.60E+11,Low_Lat,AF
17,United Kingdom,GBR,High SDI,2.41E+11,Middle_Lat,EU
135,Georgia,GEO,High-middle SDI,69413461690,Middle_Lat,EU
133,Ghana,GHA,Low-middle SDI,2.39E+11,Low_Lat,AF
129,Guinea,GIN,Low SDI,2.44E+11,Low_Lat,AF
136,Gambia,GMB,Low SDI,10274961053,Low_Lat,AF
128,Guinea-Bissau,GNB,Low SDI,31931088727,Low_Lat,AF
143,Eq. Guinea,GNQ,Middle SDI,26525017735,Low_Lat,AF
132,Greece,GRC,High-middle SDI,1.30E+11,Middle_Lat,EU
131,Grenada,GRD,Middle SDI,284915029.9,Low_Lat,NA
150,Greenland,GRL,High-middle SDI,2.17E+12,High_Lat,NA
130,Guatemala,GTM,Low-middle SDI,1.08E+11,Low_Lat,NA
12,Guam,GUM,High SDI,480437129.9,Middle_Lat,OC
