"location","iso_a3","mean_rel_diff"
"South Sudan","SSD",0.0654409777845341
"Pakistan","PAK",0.0502955858559844
"Angola","AGO",0.0361560329464576
"Algeria","DZA",0.0348642455404145
"Mali","MLI",0.0336473051094454
"Gambia","GMB",0.0313165565401142
"Australia","AUS",0.0309919130556963
"Senegal","SEN",0.0237648952587757
"Canada","CAN",0.0228172137964484
"Thailand","THA",0.0227591586278221
"Russian Federation","RUS",0.0217393492017023
"Taiwan (Province of China)","TWN",0.0212736991071921
"Paraguay","PRY",0.0201443070861099
"Namibia","NAM",0.0179213855011053
"Greenland","GRL",0.0170299079090443
"Viet Nam","VNM",0.0169264754687415
"United Arab Emirates","ARE",0.0162090711835397
"Myanmar","MMR",0.0140831787249108
"Cyprus","CYP",0.0140326930595623
"Djibouti","DJI",0.0137268625096336
"Türkiye","TUR",0.0136632477436346
"Israel","ISR",0.0136530465189293
"United States of America","USA",0.0135564079949868
"Malaysia","MYS",0.0134948897864557
"Brazil","BRA",0.0128763128432001
"Colombia","COL",0.0127207560434711
"India","IND",0.0123307221872691
"Yemen","YEM",0.0121796763070261
"Ethiopia","ETH",0.0118559409532064
"Nigeria","NGA",0.0113354796786581
"Guyana","GUY",0.0111915565355705
"Benin","BEN",0.0111310677251056
"Nepal","NPL",0.0110477364013286
"Burkina Faso","BFA",0.0106385653516285
"Portugal","PRT",0.0106350227384639
"Bahamas","BHS",0.0105960261653472
"Kenya","KEN",0.0103068224277434
"Democratic Republic of the Congo","COD",0.0100202242967868
"Azerbaijan","AZE",0.00983389748575951
"Venezuela (Bolivarian Republic of)","VEN",0.009712513855043
"Niger","NER",0.00946830819323349
"Philippines","PHL",0.0093907629847367
"Bhutan","BTN",0.00920020439590153
"Ghana","GHA",0.00879286022912707
"Chile","CHL",0.00877808361541892
"China","CHN",0.00877381757863582
"Congo","COG",0.0085099519923664
"Sri Lanka","LKA",0.00818293079685872
"Uzbekistan","UZB",0.00814983551625766
"New Zealand","NZL",0.0077428451223089
"El Salvador","SLV",0.00765825101506901
"Nicaragua","NIC",0.00764313958169836
"Sudan","SDN",0.00751446317086759
"Oman","OMN",0.00745848535440531
"Romania","ROU",0.00706844136436548
"Qatar","QAT",0.00689817529426549
"Guatemala","GTM",0.0068823159587447
"Tajikistan","TJK",0.00675076149390216
"Spain","ESP",0.00672719871019533
"Mauritania","MRT",0.00654326524240569
"Guinea-Bissau","GNB",0.00610502932421429
"Egypt","EGY",0.00602534362817781
"Albania","ALB",0.00587604690579524
"Lebanon","LBN",0.00572726264010683
"Iran (Islamic Republic of)","IRN",0.00559142898787472
"Japan","JPN",0.00543220925307328
"San Marino","SMR",0.00533653544732729
"Italy","ITA",0.00508753163466347
"Chad","TCD",0.00506980824626711
"Turkmenistan","TKM",0.00496388069239809
"Dominican Republic","DOM",0.00490609662333038
"Saudi Arabia","SAU",0.00488471083495116
"Kuwait","KWT",0.00462631893123039
"Sweden","SWE",0.00454631413173431
"Botswana","BWA",0.00450526246832143
"Monaco","MCO",0.00436651146177822
"Lao People's Democratic Republic","LAO",0.00420592371268971
"Lesotho","LSO",0.0041906466001596
"Morocco","MAR",0.00416903948589414
"Finland","FIN",0.00382794564326078
"Togo","TGO",0.00365153933720299
"Iraq","IRQ",0.00355617680495035
"Greece","GRC",0.00355358570202359
"Mongolia","MNG",0.00354511732033619
"Papua New Guinea","PNG",0.00346977237243591
"Kazakhstan","KAZ",0.00342611749055099
"Norway","NOR",0.00337561142697362
"Montenegro","MNE",0.00324379623974192
"Poland","POL",0.00323881238702966
"South Africa","ZAF",0.00317055957114948
"Armenia","ARM",0.00301217842387165
"Republic of Moldova","MDA",0.00299717195022765
"Georgia","GEO",0.00299610681364108
"Czechia","CZE",0.0029552342005463
"Germany","DEU",0.00289499297015088
"Palestine","PSE",0.00284869319019808
"Netherlands","NLD",0.00278409833227583
"Bosnia and Herzegovina","BIH",0.00266186623010385
"Eswatini","SWZ",0.00265035060117518
"Ukraine","UKR",0.00258890952820017
"Slovenia","SVN",0.00254651157071074
"Guinea","GIN",0.00254472140061014
"Denmark","DNK",0.00251139946147411
"Madagascar","MDG",0.00240650716798069
"Cameroon","CMR",0.00237807810117327
"United Kingdom","GBR",0.00235734323906342
"Mozambique","MOZ",0.0023551951417119
"Somalia","SOM",0.00234748709708131
"Timor-Leste","TLS",0.00234131528386241
"Hungary","HUN",0.00231086963498166
"Luxembourg","LUX",0.00219627675050231
"Iceland","ISL",0.00217514038115634
"Belgium","BEL",0.00215783666671721
"Libya","LBY",0.00215568608405466
"Indonesia","IDN",0.00214961864721485
"Austria","AUT",0.00212827056220483
"Peru","PER",0.00212510598782454
"Samoa","WSM",0.00198693240683585
"Cuba","CUB",0.00195744396208731
"Uruguay","URY",0.00189395384194842
"Burundi","BDI",0.00188079032446026
"Slovakia","SVK",0.00187419465517088
"Argentina","ARG",0.00186082136999807
"Panama","PAN",0.0017804028629669
"Cambodia","KHM",0.00168964030635814
"Suriname","SUR",0.00167142565877614
"Belize","BLZ",0.00160204960973629
"Central African Republic","CAF",0.00154215769278966
"Côte d'Ivoire","CIV",0.0015366668268992
"Jamaica","JAM",0.00150447506262182
"Kyrgyzstan","KGZ",0.00148775296854729
"Saint Vincent and the Grenadines","VCT",0.00131445924907122
"Syrian Arab Republic","SYR",0.00127491968612203
"Switzerland","CHE",0.00121610923724451
"Eritrea","ERI",0.00118729977181118
"Palau","PLW",0.00116318500397635
"Andorra","AND",0.00114710945433377
"Haiti","HTI",0.00114346536589992
"Ireland","IRL",0.00114240323398623
"Bulgaria","BGR",0.00112744033973109
"Grenada","GRD",0.00104694760847708
"Democratic People's Republic of Korea","PRK",0.00100792956774142
"North Macedonia","MKD",0.000979635587660442
"Afghanistan","AFG",0.000965874165777923
"Bahrain","BHR",0.000903356749820469
"Malta","MLT",0.000856874542192769
"United Republic of Tanzania","TZA",0.000846727820825486
"Malawi","MWI",0.000823007136842051
"Croatia","HRV",0.000820621124339591
"Saint Kitts and Nevis","KNA",0.000809598525676251
"Bangladesh","BGD",0.00080434107423025
"Singapore","SGP",0.000789335729741127
"Brunei Darussalam","BRN",0.000692104370838957
"Serbia","SRB",0.000691961105315021
"Zambia","ZMB",0.000683624786445952
"Republic of Korea","KOR",0.000663040816662199
"Uganda","UGA",0.000661299025187382
"Rwanda","RWA",0.000653509697974661
"Lithuania","LTU",0.000638804168101335
"Bolivia (Plurinational State of)","BOL",0.000597177291709493
"Cabo Verde","CPV",0.000557616904595255
"Ecuador","ECU",0.000539391277918637
"Guam","GUM",0.000521964065335067
"Honduras","HND",0.000471762497981661
"Jordan","JOR",0.000446587047325853
"Tunisia","TUN",0.000437938027636874
"Solomon Islands","SLB",0.000434154633493017
"France","FRA",0.000429154168331359
"Belarus","BLR",0.00042366190076167
"Northern Mariana Islands","MNP",0.000389131112371978
"Gabon","GAB",0.000382211321527801
"Puerto Rico","PRI",0.000372170256865518
"Liberia","LBR",0.000362072263263185
"Latvia","LVA",0.000314794623627494
"Costa Rica","CRI",0.00030785655665324
"Vanuatu","VUT",0.000280313075300765
"Mauritius","MUS",0.000254091055857444
"Barbados","BRB",0.000244581760496668
"Micronesia (Federated States of)","FSM",0.00021311587835553
"Fiji","FJI",0.00019035238923023
"Zimbabwe","ZWE",0.000176542533589017
"Antigua and Barbuda","ATG",0.000174351491989931
"Mexico","MEX",0.000158273802932604
"Comoros","COM",0.000156366139107465
"Equatorial Guinea","GNQ",0.000148281208289151
"Estonia","EST",0.000142410189652209
"Trinidad and Tobago","TTO",0.000131774385012195
"Sao Tome and Principe","STP",0.000122617079964968
"Sierra Leone","SLE",0.000105239372464439
"Saint Lucia","LCA",9.3430570493862e-05
"Dominica","DMA",8.74856456970857e-05
